width, height, aspect_ratio, area, confidence, type
32.5772,93.6845,0.347733,3051.98,0.722916,pedestrian
27.2488,84.7386,0.321563,2309.03,0.549987,pedestrian
27.536,70.7082,0.389432,1947.02,0.528206,pedestrian
19.9452,83.9258,0.237653,1673.92,0.860999,pedestrian
27.861,78.8252,0.353453,2196.15,0.986878,pedestrian
30.1111,74.6818,0.403192,2248.75,0.616386,pedestrian
26.1601,79.6535,0.328424,2083.74,0.733381,pedestrian
31.1104,81.4246,0.382076,2533.15,0.92997,pedestrian
39.5639,91.1942,0.433842,3608,0.507983,pedestrian
27.3744,59.7328,0.458281,1635.15,0.615447,pedestrian
24.4945,83.7312,0.292537,2050.95,0.586682,pedestrian
33.896,91.3023,0.37125,3094.78,0.69553,pedestrian
26.4777,76.4688,0.346255,2024.72,0.78385,pedestrian
32.8306,66.2206,0.495776,2174.06,0.515657,pedestrian
36.0045,78.2837,0.459923,2818.56,0.863636,pedestrian
29.1186,86.984,0.334758,2532.85,0.66327,pedestrian
43.2801,96.4177,0.448881,4172.96,0.793376,pedestrian
33.9277,82.6349,0.410573,2803.61,0.982628,pedestrian
33.6075,74.8667,0.448898,2516.09,0.507818,pedestrian
22.4502,71.5658,0.3137,1606.67,0.711701,pedestrian
26.0218,86.7777,0.299868,2258.12,0.80298,pedestrian
22.1847,89.3058,0.248412,1981.22,0.96315,pedestrian
31.2056,91.6477,0.340495,2859.92,0.547705,pedestrian
33.3114,78.3179,0.425336,2608.88,0.685409,pedestrian
36.1675,86.3795,0.418704,3124.13,0.780622,pedestrian
36.0609,64.2584,0.561185,2317.21,0.691463,pedestrian
33.921,83.3289,0.407074,2826.6,0.719668,pedestrian
25.3312,73.8512,0.343003,1870.74,0.60086,pedestrian
34.8059,85.8069,0.40563,2986.58,0.569666,pedestrian
29.7009,97.9428,0.303248,2908.99,0.802209,pedestrian
30.9517,86.0809,0.359565,2664.35,0.847392,pedestrian
22.907,81.3575,0.28156,1863.66,0.940234,pedestrian
34.4631,70.4465,0.48921,2427.81,0.60922,pedestrian
22.6652,78.9474,0.287092,1789.36,0.708255,pedestrian
33.7539,71.384,0.47285,2409.49,0.953414,pedestrian
28.2796,76.7237,0.36859,2169.72,0.636066,pedestrian
24.9046,67.5056,0.368927,1681.2,0.742415,pedestrian
23.2531,81.2701,0.286121,1889.78,0.846218,pedestrian
25.9132,74.3017,0.348757,1925.4,0.779051,pedestrian
25.4651,75.1688,0.338772,1914.18,0.701918,pedestrian
29.8631,69.454,0.42997,2074.11,0.856135,pedestrian
29.9226,88.1787,0.33934,2638.54,0.574043,pedestrian
31.7245,77.5862,0.408894,2461.38,0.817176,pedestrian
29.6781,79.1991,0.374728,2350.48,0.840353,pedestrian
37.4016,92.3178,0.40514,3452.84,0.540427,pedestrian
17.5062,101.587,0.172327,1778.41,0.684827,pedestrian
26.9047,79.7812,0.337231,2146.49,0.699412,pedestrian
33.6392,83.5616,0.402567,2810.94,0.908216,pedestrian
31.8911,80.8097,0.394645,2577.11,0.929179,pedestrian
27.786,99.3384,0.27971,2760.22,0.662979,pedestrian
25.2426,90.9653,0.277498,2296.2,0.548088,pedestrian
33.5906,74.6384,0.450045,2507.15,0.970262,pedestrian
17.6515,89.2646,0.197744,1575.65,0.867608,pedestrian
32.1401,84.8198,0.378922,2726.11,0.604536,pedestrian
31.9819,74.7754,0.427706,2391.46,0.991084,pedestrian
39.3616,73.7438,0.533761,2902.68,0.758318,pedestrian
32.508,81.8062,0.397378,2659.36,0.639436,pedestrian
30.3141,78.5305,0.386017,2380.58,0.850179,pedestrian
30.5288,77.7328,0.392741,2373.09,0.925464,pedestrian
30.5436,89.2067,0.342391,2724.69,0.967817,pedestrian
35.5134,91.6863,0.387336,3256.1,0.970067,pedestrian
33.2652,61.502,0.540881,2045.88,0.986832,pedestrian
24.5303,71.9682,0.340849,1765.4,0.997229,pedestrian
25.0731,51.2054,0.489657,1283.88,0.587963,pedestrian
28.0834,68.875,0.407744,1934.24,0.872085,pedestrian
